















Bisharp, Meowstic, Conkeldurr, Primarina, Dragapult, Dusclops
Duraludon, Rotom-Wash, Incineroar, Conkeldurr, Grimmsnarl, Dragapult
Togekiss, Roserade, Incineroar, Excadrill, Conkeldurr, Milotic
Sylveon, Weezing-Galar, Primarina, Accelgor, Beartic, Conkeldurr
Whimsicott, Snorlax, Togekiss, Chandelure, Hitmontop, Toxtricity
Tyranitar, Excadrill, Rotom-Wash, Dragapult, Sylveon, Togekiss
Tyranitar, Togekiss, Dusclops, Incineroar, Ferrothorn, Primarina
Dracozolt, Excadrill, Togekiss, Venusaur, Incineroar, Milotic
Tyranitar, Excadrill, Togekiss, Whimsicott, Dragapult, Incineroar
Drednaw, Passimian, Espeon, Ferrothorn, Dragapult, Sableye
Charizard, Sableye, Venusaur, Rotom-Wash, Torkoal, Darmanitan-Galar
Sylveon, Weezing-Galar, Primarina, Accelgor, Beartic, Conkeldurr
Duraludon, Rotom-Wash, Incineroar, Conkeldurr, Grimmsnarl, Dragapult
Sylveon, Weezing-Galar, Primarina, Accelgor, Beartic, Conkeldurr
Duraludon, Rotom-Wash, Incineroar, Conkeldurr, Grimmsnarl, Dragapult
Togekiss, Primarina, Vanilluxe, Excadrill, Dusclops, Sirfetch'd
Togekiss, Dragapult, Dusclops, Incineroar, Rhyperior, Rotom-Wash
Tyranitar, Corviknight, Gastrodon-East, Arcanine, Toxtricity-Low-Key, Grimmsnarl
Whimsicott, Gastrodon-East, Toxtricity, Excadrill, Tyranitar, Conkeldurr
Chandelure, Sigilyph, Ninetales-Alola, Milotic, Indeedee-F, Excadrill
Meowstic, Venusaur, Charizard, Bronzong, Mudsdale, Gastrodon-East
Tyranitar, Togekiss, Dusclops, Incineroar, Ferrothorn, Primarina
Tyranitar, Excadrill, Rotom-Wash, Dragapult, Sylveon, Togekiss
Braviary, Whimsicott, Lucario, Raichu, Gastrodon, Dragapult
Whimsicott, Snorlax, Togekiss, Chandelure, Hitmontop, Lapras
Dragapult, Rotom-Wash, Snorlax, Gigalith, Togekiss, Whimsicott
Ferrothorn, Excadrill, Braviary, Primarina, Sableye, Passimian
Dragapult, Mamoswine, Togedemaru, Togekiss, Arcanine, Milotic
Chandelure, Whimsicott, Durant, Dracovish, Tyranitar, Togekiss
Torkoal, Venusaur, Conkeldurr, Charizard, Togekiss, Dusclops
Ferrothorn, Rhyperior, Gastrodon, Togekiss, Conkeldurr, Dusclops
Machamp, Sylveon, Rotom-Wash, Togekiss, Doublade, Chandelure
Dragapult, Grimmsnarl, Incineroar, Lapras, Corviknight, Alcremie
Dragapult, Rotom-Wash, Excadrill, Clefairy, Togekiss, Incineroar
Dragapult, Dusclops, Arcanine, Milotic, Ferrothorn, Togekiss
Glalie, Centiskorch, Dubwool, Dracovish, Ferrothorn, Stonjourner
Cramorant, Garbodor, Raichu, Toxicroak, Ferrothorn, Darmanitan
Dusclops, Hatterene, Indeedee-F, Snorlax, Torkoal, Ribombee
Snorlax, Mimikyu, Torkoal, Dusclops, Umbreon, Primarina
Gengar, Togekiss, Bisharp, Rotom-Wash, Conkeldurr, Arcanine
Conkeldurr, Dragapult, Dusclops, Coalossal, Togekiss, Primarina
Dragapult, Toxtricity, Gallade, Dracovish, Chandelure, Whimsicott
Incineroar, Excadrill, Togekiss, Venusaur, Dragapult, Lapras
Chandelure, Sigilyph, Ninetales-Alola, Milotic, Indeedee-F, Excadrill
Grimmsnarl, Durant, Arcanine, Milotic, Tyranitar, Mudsdale
Togekiss, Dracozolt, Arcanine, Rotom-Wash, Sableye, Sirfetch'd
Dusclops, Hatterene, Indeedee-F, Snorlax, Torkoal, Ribombee
Lapras, Dusclops, Conkeldurr, Alcremie, Excadrill, Incineroar
Incineroar, Dusclops, Dhelmise, Snorlax, Milotic, Togekiss
Pikachu, Indeedee-F, Dracovish, Dusclops, Escavalier, Tyranitar
Dragapult, Alcremie, Dracovish, Mimikyu, Sylveon, Conkeldurr
Whimsicott, Dragapult, Dracovish, Dracozolt, Darmanitan-Galar, Duraludon
Venusaur, Primarina, Dusclops, Arcanine, Dragapult, Tyranitar
Dragapult, Dracovish, Togekiss, Dusclops, Tyranitar, Primarina
Indeedee-F, Dusclops, Torkoal, Venusaur, Conkeldurr, Rhyperior
Dragapult, Togekiss, Tyranitar, Excadrill, Incineroar, Rotom-Wash
Tyranitar, Corviknight, Gastrodon-East, Arcanine, Toxtricity-Low-Key, Grimmsnarl
Lapras, Rhyperior, Dusclops, Hatterene, Escavalier, Torkoal
Chandelure, Sigilyph, Ninetales-Alola, Milotic, Indeedee-F, Excadrill
Tyranitar, Excadrill, Arcanine, Milotic, Togekiss, Ferrothorn
Primarina, Mimikyu, Arcanine, Dragapult, Dusclops, Tyranitar
Duraludon, Whimsicott, Jellicent, Corviknight, Rhyperior, Incineroar
Chandelure, Sigilyph, Ninetales-Alola, Milotic, Indeedee-F, Excadrill
Grimmsnarl, Durant, Arcanine, Milotic, Tyranitar, Mudsdale
Liepard, Dusclops, Conkeldurr, Abomasnow, Rotom-Wash, Bronzong
Tyranitar, Excadrill, Arcanine, Milotic, Togekiss, Ferrothorn
Tyranitar, Corviknight, Gastrodon-East, Arcanine, Toxtricity-Low-Key, Grimmsnarl
Bellossom, Crawdaunt, Swoobat, Whimsicott, Inteleon, Centiskorch
Alcremie, Squirtle, Gastrodon, Gothitelle
Whimsicott, Dragapult, Excadrill, Tyranitar, Milotic, Dracovish
Whimsicott, Dragapult, Togekiss, Dusclops, Arcanine, Snorlax
Bellossom, Crawdaunt, Swoobat, Whimsicott, Inteleon, Centiskorch
Torkoal, Venusaur, Lapras, Grimmsnarl, Gothitelle, Conkeldurr
Darmanitan-Galar, Corviknight, Excadrill, Indeedee-F, Primarina, Chandelure
Coalossal, Dragapult, Cinderace, Bellossom, Mimikyu, Rotom-Wash
Tsareena, Gothitelle, Incineroar, Conkeldurr, Rhyperior, Togekiss
Lapras, Chandelure, Sylveon, Conkeldurr, Excadrill, Dracozolt
Chandelure, Sigilyph, Ninetales-Alola, Milotic, Indeedee-F, Excadrill
Dragapult, Sableye, Snorlax, Mimikyu, Ferrothorn, Sylveon
Dragapult, Coalossal, Primarina, Dusclops, Ferrothorn, Hitmontop
Excadrill, Tyranitar, Grimmsnarl, Gastrodon, Milotic, Togetic
Gengar, Gothitelle, Hitmontop, Lapras, Dragapult, Togekiss
Gyarados, Excadrill, Conkeldurr, Snorlax, Gastrodon, Butterfree
Mimikyu, Milotic, Tyranitar, Ferrothorn, Dusclops, Dragapult
Durant, Indeedee-F, Rotom-Wash, Persian-Alola, Tyranitar, Chandelure
Charizard, Venusaur, Darmanitan-Galar, Ninetales, Dusclops, Rhyperior
Chandelure, Sigilyph, Ninetales-Alola, Milotic, Indeedee-F, Excadrill
Mimikyu, Milotic, Tyranitar, Ferrothorn, Dusclops, Dragapult
Durant, Indeedee-F, Rotom-Wash, Persian-Alola, Tyranitar, Chandelure
Mimikyu, Milotic, Tyranitar, Ferrothorn, Dusclops, Dragapult
Durant, Indeedee-F, Rotom-Wash, Persian-Alola, Tyranitar, Chandelure
Clefairy, Dragapult, Excadrill, Rotom-Wash, Venusaur, Arcanine
Venusaur, Torkoal, Hawlucha, Sylveon, Charizard
Primarina, Tyranitar, Excadrill, Togekiss, Dusclops, Chandelure
Decidueye, Togekiss, Primarina, Excadrill, Persian-Alola, Toxtricity
Decidueye, Togekiss, Primarina, Excadrill, Persian-Alola, Toxtricity
Corviknight, Togekiss, Conkeldurr, Mudsdale, Crawdaunt, Charizard
Dracovish, Togekiss, Venusaur, Charizard, Primarina, Excadrill
Dragapult, Durant, Eldegoss, Rhyperior, Malamar, Grimmsnarl
Decidueye, Togekiss, Primarina, Excadrill, Persian-Alola, Toxtricity
Venusaur, Torkoal, Whimsicott, Togekiss, Hitmontop, Charizard
Corviknight, Indeedee-F, Tyranitar, Dusclops, Gastrodon-East, Sylveon
Dragapult, Mamoswine, Pikachu, Togekiss, Arcanine, Milotic
Dragapult, Coalossal, Primarina, Dusclops, Ferrothorn, Hitmontop
Charizard, Venusaur, Torkoal, Dusclops, Tyranitar, Togekiss
Indeedee, Whimsicott, Escavalier, Lapras, Conkeldurr, Centiskorch
Charizard, Clefairy, Hitmontop, Excadrill, Whimsicott, Togekiss
Machamp, Togekiss, Rotom-Wash, Tyranitar, Indeedee, Whimsicott
Unfezant, Manectric, Machamp, Dragapult, Togekiss
Venusaur, Primarina, Incineroar, Dracozolt, Sableye, Mamoswine
Roserade, Excadrill, Togekiss, Tyranitar, Chandelure, Milotic
Charizard, Venusaur, Torkoal, Dusclops, Tyranitar, Togekiss
Decidueye, Togekiss, Primarina, Excadrill, Persian-Alola, Toxtricity
Dragapult, Togekiss, Tyranitar, Excadrill, Incineroar, Primarina
Mimikyu, Milotic, Tyranitar, Excadrill, Arcanine, Togekiss
Flygon, Togekiss, Koffing, Incineroar, Excadrill, Maractus
Dragapult, Togekiss, Tyranitar, Excadrill, Incineroar, Primarina
Gallade, Whimsicott, Charizard, Leafeon, Gengar, Torkoal
Dragapult, Togekiss, Tyranitar, Excadrill, Incineroar, Primarina
Dragapult, Incineroar, Togekiss, Rotom-Wash, Mimikyu, Snorlax
Togekiss, Weavile, Excadrill, Weezing-Galar, Coalossal, Gastrodon-East
Hatterene, Dusclops, Ninetales, Venusaur, Rhyperior, Indeedee-F
Venusaur, Primarina, Incineroar, Dracozolt, Sableye, Mamoswine
Whimsicott, Dusclops, Togekiss, Chandelure, Hitmontop, Lapras
Raichu, Gyarados, Hitmontop, Arcanine, Gengar, Clefable
Togekiss, Weavile, Excadrill, Weezing-Galar, Coalossal, Gastrodon-East
Dragapult, Incineroar, Togekiss, Rotom-Wash, Mimikyu, Snorlax
Corviknight, Arcanine, Dracozolt, Whimsicott, Conkeldurr, Primarina
Togekiss, Rotom-Wash, Dragapult, Conkeldurr, Liepard, Arcanine
Primarina, Whimsicott, Dracozolt, Togekiss, Mudsdale, Incineroar
Dracovish, Lapras, Whimsicott, Braviary, Togekiss, Sableye
Snorlax, Chandelure, Excadrill, Togekiss, Gyarados, Dragapult
Togekiss, Excadrill, Incineroar, Conkeldurr, Milotic, Tyranitar
Excadrill, Tyranitar, Grimmsnarl, Gastrodon, Milotic, Togetic
Durant, Jolteon, Inteleon, Tsareena, Darmanitan-Galar, Whimsicott
Indeedee-F, Hatterene, Rhyperior, Torkoal, Charizard, Venusaur
Primarina, Whimsicott, Dracozolt, Togekiss, Mudsdale, Incineroar
Whimsicott, Duraludon, Incineroar, Alcremie, Gyarados, Conkeldurr
Whimsicott, Charizard, Excadrill, Darmanitan-Galar, Torkoal, Rotom-Wash
Excadrill, Tyranitar, Grimmsnarl, Gastrodon, Milotic, Togetic
Whimsicott, Charizard, Torkoal, Venusaur, Dusclops, Rhyperior
Dusclops, Conkeldurr, Gastrodon, Dragapult, Incineroar, Togekiss
Pelipper, Ludicolo, Ferrothorn, Gourgeist-*, Dragapult, Vikavolt
Whimsicott, Togekiss, Gengar, Incineroar, Bisharp, Dracozolt
Whimsicott, Dracovish, Corviknight, Obstagoon, Arcanine, Rotom-Wash
Tyranitar, Togekiss, Excadrill, Tsareena, Milotic, Dusclops
Pelipper, Ludicolo, Dragapult, Primarina, Ferrothorn, Dusclops
Ninetales, Charizard, Venusaur, Sableye, Rotom-Wash, Excadrill
Cursola, Xatu, Indeedee-F, Kommo-o, Gallade, Vanilluxe
Tyranitar, Togekiss, Excadrill, Tsareena, Milotic, Dusclops
Pelipper, Ludicolo, Dragapult, Primarina, Ferrothorn, Dusclops
Conkeldurr, Whimsicott, Obstagoon, Excadrill, Arcanine, Rotom-Wash
Rotom-Heat, Charizard, Toxicroak, Togekiss, Ninetales, Incineroar
Pikachu, Indeedee-F, Conkeldurr, Chandelure, Incineroar, Primarina
Obstagoon, Whimsicott, Primarina, Toxtricity, Chandelure, Vanilluxe
Grimmsnarl, Duraludon, Rotom-Mow, Dracovish, Torracat, Snorlax
Lapras, Morpeko, Torracat, Gastrodon, Mimikyu, Goodra
Conkeldurr, Lapras, Incineroar, Mimikyu, Ferrothorn, Dragapult
Togekiss, Excadrill, Dracozolt, Venusaur, Persian-Alola, Lapras
Excadrill, Tyranitar, Dragapult, Togekiss, Rotom-Wash, Sylveon
Rotom-Wash, Tyranitar, Togekiss, Dusclops, Excadrill, Sylveon
Diggersby, Milotic, Mimikyu, Whimsicott, Rotom-Heat, Togekiss
Dragapult, Togekiss, Conkeldurr, Coalossal, Gastrodon-East, Dusclops
Lapras, Morpeko, Torracat, Gastrodon, Mimikyu, Goodra
Pikachu, Togekiss, Arcanine, Gastrodon, Darmanitan-Galar, Tyranitar
Dragapult, Bisharp, Tyranitar, Incineroar, Togekiss, Durant
Togedemaru, Primarina, Ferrothorn, Incineroar, Dragapult, Dusclops
Conkeldurr, Lapras, Incineroar, Mimikyu, Ferrothorn, Dragapult
Togekiss, Excadrill, Dracozolt, Venusaur, Persian-Alola, Lapras
Togedemaru, Primarina, Ferrothorn, Incineroar, Dragapult, Dusclops
Dragapult, Bisharp, Tyranitar, Incineroar, Togekiss, Durant
Conkeldurr, Rotom-Heat, Whimsicott, Swoobat, Duraludon, Gastrodon
Arcanine, Dragapult, Excadrill, Gastrodon-East, Sylveon, Tyranitar
Tyranitar, Charizard, Rotom-Wash, Whimsicott, Duraludon, Hitmontop
Dragapult, Togekiss, Conkeldurr, Coalossal, Gastrodon-East, Dusclops
Machamp, Togekiss, Rotom-Wash, Tyranitar, Indeedee, Whimsicott
Togekiss, Drampa, Arcanine, Primarina, Vanilluxe, Excadrill
Excadrill, Tyranitar, Togekiss, Grimmsnarl, Gastrodon, Arcanine
Venusaur, Torkoal, Dusclops, Primarina, Coalossal, Tyranitar
Milotic, Whimsicott, Arcanine, Sylveon, Dracozolt, Tyranitar
Ferrothorn, Dragapult, Mimikyu, Rotom-Heat, Primarina, Dusclops
Dusclops, Incineroar, Conkeldurr, Lapras, Ferrothorn, Aegislash
Polteageist, Conkeldurr, Dracovish, Duraludon, Indeedee-F, Morgrem
Dragapult, Mimikyu, Primarina, Ferrothorn, Torkoal, Venusaur
Barraskewda, Pelipper, Jolteon, Togekiss, Ferrothorn, Arcanine
Mr. Rime, Togekiss, Diggersby, Gyarados, Passimian, Turtonator
Excadrill, Primarina, Togekiss, Sableye, Tyranitar, Dragapult
Blastoise, Charizard, Tsareena, Excadrill, Tyranitar, Togekiss
Coalossal, Primarina, Mimikyu, Conkeldurr, Bisharp, Rotom-Mow
Arcanine, Weavile, Sylveon, Dragapult, Inteleon, Excadrill
Lapras, Alcremie, Dusclops, Incineroar, Mimikyu, Conkeldurr
Mr. Rime, Togekiss, Diggersby, Gyarados, Passimian, Turtonator
Togekiss, Milotic, Arcanine, Excadrill, Grimmsnarl, Ferrothorn
Drifblim, Milotic, Excadrill, Mimikyu, Ferrothorn, Arcanine
Milotic, Bisharp, Passimian, Excadrill, Whimsicott, Arcanine
Togekiss, Excadrill, Incineroar, Conkeldurr, Milotic, Tyranitar
Tyranitar, Indeedee-F, Excadrill, Flapple, Chandelure, Milotic
Shiinotic, Lapras, Raichu, Conkeldurr, Rotom-Heat, Togekiss
Oranguru, Jellicent, Togekiss, Gigalith, Conkeldurr, Sableye
Whimsicott, Lucario, Togekiss, Dracovish, Gardevoir, Dragapult
Durant, Duraludon, Rhyperior, Sawk, Perrserker, Indeedee-F
Drifblim, Milotic, Excadrill, Mimikyu, Ferrothorn, Arcanine
Shiinotic, Lapras, Raichu, Conkeldurr, Rotom-Heat, Togekiss
Torkoal, Arcanine, Venusaur, Gastrodon, Hydreigon, Bisharp
Drifblim, Milotic, Excadrill, Mimikyu, Ferrothorn, Arcanine
Machamp, Togekiss, Rotom-Wash, Tyranitar, Indeedee, Whimsicott
Torkoal, Venusaur, Mimikyu, Togekiss, Gigalith, Incineroar
Togekiss, Incineroar, Conkeldurr, Dusclops, Rhyperior, Torkoal
Liepard, Dusclops, Conkeldurr, Abomasnow, Rotom-Wash, Bronzong
Lapras, Togedemaru, Pelipper, Seismitoad, Hatterene, Indeedee-F
Arcanine, Weavile, Sylveon, Dragapult, Inteleon, Excadrill
Drifblim, Milotic, Excadrill, Mimikyu, Ferrothorn, Arcanine
Dragapult, Mimikyu, Milotic, Ferrothorn, Arcanine, Persian-Alola
Sylveon, Duraludon, Dracovish, Rotom-Heat, Whimsicott, Conkeldurr
Dragapult, Rotom-Wash, Excadrill, Clefairy, Togekiss, Incineroar
Toxapex, Arcanine, Ferrothorn, Grimmsnarl, Goodra, Dusclops
Gyarados, Raichu, Incineroar, Corviknight, Conkeldurr, Clefairy
Gardevoir, Cofagrigus, Bisharp, Rotom-Heat, Clefairy, Conkeldurr
Grimmsnarl, Jellicent, Excadrill, Hitmontop, Reuniclus, Togekiss
Arcanine, Weavile, Sylveon, Dragapult, Inteleon, Excadrill
Dusclops, Hatterene, Rhyperior, Indeedee-F, Torkoal, Venusaur
Braviary, Diggersby, Dracovish, Rotom-Heat, Ninetales-Alola, Clefairy
Torkoal, Venusaur, Mimikyu, Togekiss, Gigalith, Incineroar
Blastoise, Charizard, Tsareena, Excadrill, Tyranitar, Togekiss
Grimmsnarl, Jellicent, Excadrill, Hitmontop, Reuniclus, Togekiss
Hatterene, Indeedee-F, Torkoal, Dusclops, Ferrothorn, Rhyperior
Toxtricity, Whimsicott, Chandelure, Milotic, Durant, Darmanitan-Galar
Incineroar, Rotom-Wash, Braviary, Tyranitar, Excadrill, Sylveon
Excadrill, Tyranitar, Dragapult, Togekiss, Grimmsnarl, Gastrodon
Dusclops, Hatterene, Rhyperior, Indeedee-F, Torkoal, Venusaur
Togekiss, Conkeldurr, Incineroar, Excadrill, Dusclops, Rotom-Wash
Drifblim, Milotic, Excadrill, Mimikyu, Ferrothorn, Arcanine
Durant, Rotom-Mow, Togekiss, Chandelure, Tyranitar, Gastrodon-East
Cinccino, Indeedee-F, Reuniclus, Runerigus, Vikavolt, Mimikyu
Lapras, Sylveon, Chandelure, Malamar, Whimsicott, Diggersby
Excadrill, Tyranitar, Sableye, Milotic, Goodra, Togekiss
Dragapult, Arcanine, Tyranitar, Primarina, Mimikyu, Excadrill
Hawlucha, Swoobat, Tyranitar, Excadrill, Dragapult, Primarina
Primarina, Mudsdale, Dusclops, Indeedee-F, Heliolisk, Ribombee
Whimsicott, Sylveon, Rhyperior, Arcanine, Gyarados, Excadrill
Chandelure, Milotic, Sigilyph, Ninetales-Alola, Indeedee-F, Excadrill
Togekiss, Lapras, Excadrill, Braviary, Chandelure, Whimsicott
Hawlucha, Swoobat, Tyranitar, Excadrill, Dragapult, Primarina
Lapras, Pikachu, Ferrothorn, Hitmontop, Togekiss, Excadrill
Hatterene, Dusclops, Reuniclus, Rhyperior, Snorlax, Bronzong
Excadrill, Togekiss, Gourgeist-*, Tyranitar, Arcanine, Gastrodon
Whimsicott, Jellicent, Duraludon, Rotom-Heat, Mimikyu, Conkeldurr
Heliolisk, Dragapult, Sableye, Milotic, Rhyperior, Darmanitan-Galar
Hawlucha, Swoobat, Tyranitar, Excadrill, Dragapult, Primarina
Chandelure, Milotic, Sigilyph, Ninetales-Alola, Indeedee-F, Excadrill
Primarina, Dusclops, Conkeldurr, Tyranitar, Togekiss, Rotom-Heat
Venusaur, Primarina, Chandelure, Dracozolt, Sableye, Mamoswine
Hatterene, Indeedee-F, Torkoal, Dusclops, Ferrothorn, Rhyperior
Lapras, Incineroar, Gothitelle, Togekiss, Dragapult, Venusaur
Excadrill, Primarina, Togekiss, Sableye, Tyranitar, Dragapult
Dusclops, Lapras, Rhyperior, Dragapult, Conkeldurr, Torkoal
Dragapult, Grimmsnarl, Indeedee-F, Mimikyu, Milotic, Tyranitar
Togekiss, Diggersby, Rotom-Wash, Ferrothorn, Whimsicott, Duraludon
Hatterene, Indeedee-F, Torkoal, Dusclops, Ferrothorn, Rhyperior
Dragapult, Tyranitar, Machamp, Togekiss, Milotic, Gengar
Hawlucha, Swoobat, Tyranitar, Excadrill, Dragapult, Primarina
Pelipper, Toxapex, Goodra, Mimikyu, Rhydon, Hatterene
Conkeldurr, Rotom-Heat, Whimsicott, Swoobat, Duraludon, Gastrodon
Dusclops, Hatterene, Rhyperior, Indeedee-F, Torkoal, Venusaur
Ninetales, Venusaur, Sableye, Rhyperior, Togekiss, Charizard
Malamar, Whimsicott, Toxtricity, Sylveon, Chandelure, Braviary
Tyranitar, Excadrill, Togekiss, Dusclops, Milotic, Tsareena
Tyranitar, Excadrill, Rotom-Mow, Dragapult, Togekiss, Gyarados
Gengar, Gothitelle, Wobbuffet, Shiinotic, Snorlax
Persian-Alola, Incineroar, Shiinotic, Conkeldurr, Tyranitar, Rotom-Wash
Dusclops, Rhyperior, Togekiss, Indeedee-F, Hatterene, Incineroar
Dragapult, Arcanine, Rotom-Wash, Tyranitar, Mimikyu, Togekiss
Durant, Gothitelle, Tyranitar, Sylveon, Milotic, Arcanine
Gengar, Drampa, Togekiss, Inteleon, Conkeldurr, Dragapult
Cramorant, Sableye, Gastrodon, Rhyperior, Corviknight, Chandelure
Gengar, Drampa, Togekiss, Inteleon, Conkeldurr, Dragapult
Pelipper, Ludicolo, Duraludon, Chandelure, Snorlax, Togekiss
Indeedee, Slurpuff, Venusaur, Conkeldurr, Torkoal, Dusclops
Dracovish, Pikachu, Togekiss, Whimsicott, Incineroar, Excadrill
Dracovish, Gyarados, Grimmsnarl, Hatterene, Oranguru, Gengar
Whimsicott, Rhyperior, Dusclops, Sylveon, Togekiss, Rotom-Wash
Dragapult, Incineroar, Rotom-Wash, Togekiss, Whimsicott, Conkeldurr
Persian-Alola, Charizard, Venusaur, Torkoal, Conkeldurr, Gastrodon
Gengar, Drampa, Togekiss, Inteleon, Conkeldurr, Dragapult
Excadrill, Primarina, Dusclops, Tyranitar, Incineroar, Togekiss
Persian-Alola, Ninetales, Charizard, Venusaur, Conkeldurr, Duraludon
Pelipper, Drednaw, Dracozolt, Dragapult, Ludicolo, Clefairy
Bisharp, Kommo-o, Snorlax, Whimsicott, Milotic, Ferrothorn
Dracovish, Gyarados, Grimmsnarl, Hatterene, Oranguru, Gengar
Indeedee, Togekiss, Kingler, Tyranitar, Excadrill, Rotom-Mow
Persian-Alola, Incineroar, Shiinotic, Conkeldurr, Tyranitar, Rotom-Wash
Mr. Mime-Galar, Arcanine, Milotic, Venusaur, Excadrill, Sylveon
Coalossal, Darmanitan-Galar, Raichu, Gyarados, Togekiss, Chandelure
Hitmontop, Togekiss, Tyranitar, Gastrodon-East, Mimikyu, Arcanine
Clefairy, Gourgeist-*, Primarina, Incineroar, Dragapult, Conkeldurr
Sylveon, Ferrothorn, Oranguru, Rhyperior, Incineroar, Dracovish
Sylveon, Venusaur, Coalossal, Dragapult, Dusclops, Lapras
Tyranitar, Hitmontop, Gengar, Gothitelle, Lapras, Alcremie
Arcanine, Dusclops, Togekiss, Flygon, Gyarados, Ferrothorn
Primarina, Dusclops, Ferrothorn, Dragapult, Conkeldurr, Indeedee-F
Milotic, Durant, Grimmsnarl, Dusclops, Sirfetch'd, Salazzle
Dusclops, Lucario, Rhyperior, Bronzong, Whimsicott, Chandelure
Centiskorch, Aromatisse, Ninetales, Gastrodon, Rotom-Mow, Rhyperior
Dracovish, Gyarados, Grimmsnarl, Hatterene, Oranguru, Gengar
Arcanine, Conkeldurr, Whimsicott, Sylveon, Excadrill, Milotic
Whimsicott, Lucario, Goodra, Incineroar
Whimsicott, Lucario, Excadrill, Tyranitar, Togekiss, Gardevoir
Gengar, Arctovish, Dracovish, Charizard, Tyranitar, Excadrill
Dracozolt, Dusclops, Alcremie, Braviary, Duraludon, Conkeldurr
Gengar, Whimsicott, Dracovish, Venusaur, Togekiss, Cinderace
Jolteon, Togekiss, Ninetales, Venusaur, Hippowdon, Lapras
Charizard, Torkoal, Dusclops, Rhyperior, Venusaur, Darmanitan-Galar
Excadrill, Jellicent, Rotom-Wash, Scrafty, Sylveon, Tyranitar
Gengar, Drampa, Togekiss, Inteleon, Conkeldurr, Dragapult
Dusclops, Rhyperior, Togekiss, Indeedee-F, Hatterene, Incineroar
Dusclops, Mimikyu, Dragapult, Arcanine, Ferrothorn, Primarina
Dracozolt, Whimsicott, Primarina, Incineroar, Conkeldurr, Bisharp
Coalossal, Dragapult, Gastrodon, Conkeldurr, Dusclops, Togekiss
Dusclops, Mimikyu, Dragapult, Arcanine, Ferrothorn, Primarina
Coalossal, Venusaur, Ninetales, Dragapult, Gastrodon, Conkeldurr
Goodra, Venusaur, Lapras, Togekiss, Torkoal, Incineroar
Togekiss, Excadrill, Gigalith, Arcanine, Lapras, Dusclops
Arcanine, Conkeldurr, Whimsicott, Sylveon, Excadrill, Milotic
Pikachu, Excadrill, Togekiss, Milotic, Orbeetle, Arcanine
Sylveon, Ferrothorn, Oranguru, Rhyperior, Incineroar, Dracovish
Togekiss, Gastrodon-East, Toxtricity, Chandelure, Kingler, Raichu
Venusaur, Espeon, Charizard, Excadrill, Ninetales, Sableye
Sylveon, Ferrothorn, Oranguru, Rhyperior, Incineroar, Dracovish
Togekiss, Tyranitar, Arcanine, Gengar, Gyarados, Gastrodon
Mimikyu, Weezing-Galar, Blastoise, Ditto, Grimmsnarl, Togetic
Blastoise, Charizard, Tsareena, Excadrill, Tyranitar, Togekiss
Jellicent, Pikachu, Ludicolo, Whimsicott, Gastrodon, Pelipper
Togekiss, Excadrill, Gigalith, Arcanine, Lapras, Dusclops
Snorlax, Silvally-*, Lapras, Wobbuffet, Togekiss, Indeedee
Whimsicott, Conkeldurr, Hydreigon, Chandelure, Milotic, Venusaur
Togekiss, Gastrodon-East, Toxtricity, Chandelure, Kingler, Raichu
Hitmontop, Togekiss, Tyranitar, Gastrodon-East, Mimikyu, Arcanine
Incineroar, Mimikyu, Togekiss, Snorlax, Rhyperior, Dusclops
Jolteon, Togekiss, Ninetales, Venusaur, Hippowdon, Lapras
Whimsicott, Conkeldurr, Hydreigon, Chandelure, Milotic, Venusaur
Togekiss, Excadrill, Gigalith, Arcanine, Lapras, Dusclops
Morelull, Lapras, Whimsicott, Rhyperior, Togekiss, Duraludon
Dusclops, Hatterene, Indeedee-F, Rhyperior, Torkoal, Conkeldurr
Dusclops, Indeedee-F, Hatterene, Torkoal, Machamp, Rhyperior
Clefable, Wailord, Rotom-Heat, Togekiss, Dragapult, Incineroar
Arcanine, Whimsicott, Indeedee-F, Dragapult, Milotic, Gothitelle
Mimikyu, Weezing-Galar, Blastoise, Ditto, Grimmsnarl, Togetic
Bisharp, Manectric, Sylveon, Gyarados, Grimmsnarl, Aegislash
Dracozolt, Whimsicott, Excadrill, Charizard, Togekiss, Rhyperior
Pelipper, Ludicolo, Dragapult, Indeedee-F, Ferrothorn, Seismitoad
Grimmsnarl, Sylveon, Pelipper, Seismitoad, Goodra, Incineroar
Primarina, Whimsicott, Dracozolt, Togekiss, Mudsdale, Incineroar
Coalossal, Dragapult, Gastrodon, Conkeldurr, Dusclops, Togekiss
Decidueye, Lapras, Galvantula, Togekiss, Dracozolt, Mamoswine
Indeedee-F, Hatterene, Hitmontop, Snorlax, Butterfree, Lapras
Corsola-Galar, Mandibuzz, Dragapult, Clefable, Dracovish, Rotom-Heat
Ludicolo, Tsareena, Roserade, Ferrothorn, Venusaur, Shiinotic
Venusaur, Barraskewda, Ninetales, Charizard, Rotom-Wash, Liepard
Dusclops, Indeedee-F, Hatterene, Torkoal, Machamp, Rhyperior
Indeedee-F, Hatterene, Hitmontop, Snorlax, Butterfree, Lapras
Lapras, Incineroar, Conkeldurr, Togekiss, Dusclops, Raichu
Rhyperior, Dusclops, Togekiss, Venusaur, Torkoal, Gastrodon-East
Raichu, Machamp, Dragapult, Incineroar, Lapras, Venusaur
